DateKey,Date,Day,DayAbbv,Month,MonthAbbv,MonthNum,Quarter,Year
20120405,2012-04-05,Thursday,Thu,April,Apr,4,2,2012
20120406,2012-04-06,Friday,Fri,April,Apr,4,2,2012
20120407,2012-04-07,Saturday,Sat,April,Apr,4,2,2012
20120408,2012-04-08,Sunday,Sun,April,Apr,4,2,2012
20120409,2012-04-09,Monday,Mon,April,Apr,4,2,2012
20120410,2012-04-10,Tuesday,Tue,April,Apr,4,2,2012
20120411,2012-04-11,Wednesday,Wed,April,Apr,4,2,2012
20120412,2012-04-12,Thursday,Thu,April,Apr,4,2,2012
20120413,2012-04-13,Friday,Fri,April,Apr,4,2,2012
20120414,2012-04-14,Saturday,Sat,April,Apr,4,2,2012
20120415,2012-04-15,Sunday,Sun,April,Apr,4,2,2012
20120416,2012-04-16,Monday,Mon,April,Apr,4,2,2012
20120417,2012-04-17,Tuesday,Tue,April,Apr,4,2,2012
20120418,2012-04-18,Wednesday,Wed,April,Apr,4,2,2012
20120419,2012-04-19,Thursday,Thu,April,Apr,4,2,2012
20120420,2012-04-20,Friday,Fri,April,Apr,4,2,2012
20120421,2012-04-21,Saturday,Sat,April,Apr,4,2,2012
20120422,2012-04-22,Sunday,Sun,April,Apr,4,2,2012
20120423,2012-04-23,Monday,Mon,April,Apr,4,2,2012
20120424,2012-04-24,Tuesday,Tue,April,Apr,4,2,2012
20120425,2012-04-25,Wednesday,Wed,April,Apr,4,2,2012
20120426,2012-04-26,Thursday,Thu,April,Apr,4,2,2012
20120427,2012-04-27,Friday,Fri,April,Apr,4,2,2012
20120428,2012-04-28,Saturday,Sat,April,Apr,4,2,2012
20120429,2012-04-29,Sunday,Sun,April,Apr,4,2,2012
20120430,2012-04-30,Monday,Mon,April,Apr,4,2,2012
20120501,2012-05-01,Tuesday,Tue,May,May,5,2,2012
20120502,2012-05-02,Wednesday,Wed,May,May,5,2,2012
20120503,2012-05-03,Thursday,Thu,May,May,5,2,2012
20120504,2012-05-04,Friday,Fri,May,May,5,2,2012
20120505,2012-05-05,Saturday,Sat,May,May,5,2,2012
20120506,2012-05-06,Sunday,Sun,May,May,5,2,2012
20120507,2012-05-07,Monday,Mon,May,May,5,2,2012
20120508,2012-05-08,Tuesday,Tue,May,May,5,2,2012
20120509,2012-05-09,Wednesday,Wed,May,May,5,2,2012
20120510,2012-05-10,Thursday,Thu,May,May,5,2,2012
20120511,2012-05-11,Friday,Fri,May,May,5,2,2012
20120512,2012-05-12,Saturday,Sat,May,May,5,2,2012
20120513,2012-05-13,Sunday,Sun,May,May,5,2,2012
20120514,2012-05-14,Monday,Mon,May,May,5,2,2012
20120515,2012-05-15,Tuesday,Tue,May,May,5,2,2012
20120516,2012-05-16,Wednesday,Wed,May,May,5,2,2012
20120517,2012-05-17,Thursday,Thu,May,May,5,2,2012
20120518,2012-05-18,Friday,Fri,May,May,5,2,2012
20120519,2012-05-19,Saturday,Sat,May,May,5,2,2012
20120520,2012-05-20,Sunday,Sun,May,May,5,2,2012
20120521,2012-05-21,Monday,Mon,May,May,5,2,2012
20120522,2012-05-22,Tuesday,Tue,May,May,5,2,2012
20120523,2012-05-23,Wednesday,Wed,May,May,5,2,2012
20120524,2012-05-24,Thursday,Thu,May,May,5,2,2012
20120525,2012-05-25,Friday,Fri,May,May,5,2,2012
20120526,2012-05-26,Saturday,Sat,May,May,5,2,2012
20120527,2012-05-27,Sunday,Sun,May,May,5,2,2012
20120528,2012-05-28,Monday,Mon,May,May,5,2,2012
20120529,2012-05-29,Tuesday,Tue,May,May,5,2,2012
20120530,2012-05-30,Wednesday,Wed,May,May,5,2,2012
20120531,2012-05-31,Thursday,Thu,May,May,5,2,2012
20120601,2012-06-01,Friday,Fri,June,Jun,6,2,2012
20120602,2012-06-02,Saturday,Sat,June,Jun,6,2,2012
20120603,2012-06-03,Sunday,Sun,June,Jun,6,2,2012
20120604,2012-06-04,Monday,Mon,June,Jun,6,2,2012
20120605,2012-06-05,Tuesday,Tue,June,Jun,6,2,2012
20120606,2012-06-06,Wednesday,Wed,June,Jun,6,2,2012
20120607,2012-06-07,Thursday,Thu,June,Jun,6,2,2012
20120608,2012-06-08,Friday,Fri,June,Jun,6,2,2012
20120609,2012-06-09,Saturday,Sat,June,Jun,6,2,2012
20120610,2012-06-10,Sunday,Sun,June,Jun,6,2,2012
20120611,2012-06-11,Monday,Mon,June,Jun,6,2,2012
20120612,2012-06-12,Tuesday,Tue,June,Jun,6,2,2012
20120613,2012-06-13,Wednesday,Wed,June,Jun,6,2,2012
20120614,2012-06-14,Thursday,Thu,June,Jun,6,2,2012
20120615,2012-06-15,Friday,Fri,June,Jun,6,2,2012
20120616,2012-06-16,Saturday,Sat,June,Jun,6,2,2012
20120617,2012-06-17,Sunday,Sun,June,Jun,6,2,2012
20120618,2012-06-18,Monday,Mon,June,Jun,6,2,2012
